supergroup level,V4_reads_counts
Picozoa,7587602
Alveolata,442695470
Opisthokonta,402371921
Rhizaria,160687488
Stramenopiles,149614198
Chlorophyta,80655096
Haptophyta,19129640
Cryptophyta,11548712
Telonemia,6814594
Rhodophyta,5584320
Discosea,3696606
Kathablepharidacea,2380672
Metamonada,2212414
nucleomorphs,1904801
Centroplasthelida,1032362
Apusomonada,601830
MB07.52-lineage,528874
Ancyromonadida,300898
Breviatea,95539
Discoba,80406
ST5960.106-lineage,52418
TAGIRI-28-lineage,22762
cLA13B12-lineage,16089
Rigifilida,15983
Hemimastigophora,9030
Malawimonadidae,8768
PR2_3E_74-lineage,6763
CCA32-lineage,6137
AA5F14RM4H01-lineage,4522
Rhodelphidia,4126
Collodictyonidae,2011
Nebulidia,1775
Mantamonadidea,1440
AT4-68-lineage,787
Cryptista_X,620
RM2-SGM69-lineage,430
Glaucophyta,33
Eukaryota unassigned,103342039